Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario01_min16_mx4_res30_q5_ord1;O2;-5.0;1.24;-7.18;1.45;-0.06;0.87
cenario01_min16_mx4_res30_q5_ord1;O2;-4.5;1.21;-6.46;1.45;-0.05;0.87
cenario01_min16_mx4_res30_q5_ord1;O2;-4.0;1.18;-5.74;1.44;-0.01;0.87
cenario01_min16_mx4_res30_q5_ord1;O2;-3.5;1.15;-5.02;1.42;0.06;0.88
cenario01_min16_mx4_res30_q5_ord1;O2;-3.0;1.11;-4.32;1.39;0.16;0.89
cenario01_min16_mx4_res30_q5_ord1;O2;-2.5;1.05;-3.64;1.32;0.33;0.9
cenario01_min16_mx4_res30_q5_ord1;O2;-2.0;1.0;-2.99;1.22;0.55;0.91
cenario01_min16_mx4_res30_q5_ord1;O2;-1.5;0.94;-2.42;1.09;0.78;0.93
cenario01_min16_mx4_res30_q5_ord1;O2;-1.0;0.9;-1.9;0.98;0.93;0.94
cenario01_min16_mx4_res30_q5_ord1;O2;-0.5;0.88;-1.44;0.91;0.98;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;0.5;0.84;-0.58;0.83;0.99;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;1.0;0.82;-0.18;0.8;0.97;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;1.5;0.81;0.22;0.77;0.94;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;2.0;0.8;0.6;0.74;0.88;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;2.5;0.78;0.96;0.69;0.77;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;3.0;0.76;1.29;0.63;0.61;0.94
cenario01_min16_mx4_res30_q5_ord1;O2;3.5;0.74;1.59;0.58;0.43;0.93
cenario01_min16_mx4_res30_q5_ord1;O2;4.0;0.72;1.86;0.54;0.3;0.93
cenario01_min16_mx4_res30_q5_ord1;O2;4.5;0.7;2.13;0.52;0.22;0.92
