Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario01_min16_mx4_res30_q5_ord1;P3;-5.0;1.2147197827980492;-7.073598913990246;1.3883613936671253;0.13179194565461927;0.9095051806480258
cenario01_min16_mx4_res30_q5_ord1;P3;-4.5;1.1954262704792629;-6.379418217156683;1.3840138843807637;0.1513557374432466;0.9111519836647936
cenario01_min16_mx4_res30_q5_ord1;P3;-4.0;1.1723962574023705;-5.689585029609482;1.3724847190034586;0.19964615359564775;0.9136680948501691
cenario01_min16_mx4_res30_q5_ord1;P3;-3.5;1.1448381423294927;-5.0069334981532245;1.3530657213927872;0.2712034732784696;0.9174469336434699
cenario01_min16_mx4_res30_q5_ord1;P3;-3.0;1.1121731027388984;-4.336519308216695;1.3196931512335661;0.3774398545159965;0.9229538030586764
cenario01_min16_mx4_res30_q5_ord1;P3;-2.5;1.0748961387678633;-3.6872403469196584;1.2643745703754945;0.5263039209809222;0.9305167068495124
cenario01_min16_mx4_res30_q5_ord1;P3;-2.0;1.0360723689206002;-3.0721447378412003;1.1849131913379685;0.7023183551652634;0.9398364499258232
cenario01_min16_mx4_res30_q5_ord1;P3;-1.5;1.0015514370544598;-2.50232715558169;1.0952476700573035;0.8594556504957347;0.9496719063338214
cenario01_min16_mx4_res30_q5_ord1;P3;-1.0;0.9768970677838968;-1.9768970677838968;1.0195189731185474;0.9573780946653494;0.958724559752359
cenario01_min16_mx4_res30_q5_ord1;P3;-0.5;0.9656163649262851;-1.4828081824631425;0.9848659009357612;0.9903752319952619;0.9666981913760735
cenario01_min16_mx4_res30_q5_ord1;P3;0.5;0.9908679581222475;-0.5045660209388763;1.010562610483352;1.0098473261805523;0.978500876727852
cenario01_min16_mx4_res30_q5_ord1;P3;1.0;1.0087953965425713;0.008795396542571332;0.9973335582646734;0.9885381617221021;0.9777712024033387
cenario01_min16_mx4_res30_q5_ord1;P3;1.5;0.9951783582171981;0.49276753732579714;0.8915357989433934;0.844536161089293;0.9702062705085231
cenario01_min16_mx4_res30_q5_ord1;P3;2.0;0.9501655977429824;0.9003311954859647;0.7588753685166247;0.6174195415472847;0.9602664842216789
cenario01_min16_mx4_res30_q5_ord1;P3;2.5;0.9006571623369687;1.2516429058424219;0.6781492787240966;0.4437302909678196;0.9514068635259714
cenario01_min16_mx4_res30_q5_ord1;P3;3.0;0.8594934914033538;1.5784804742100613;0.6426880453720396;0.3495836619060575;0.9438336280325402
cenario01_min16_mx4_res30_q5_ord1;P3;3.5;0.826951700346989;1.8943309512144615;0.6253829597661054;0.2945094079669075;0.9372430670346958
cenario01_min16_mx4_res30_q5_ord1;P3;4.0;0.8009658584940417;2.2038634339761667;0.6148275926778699;0.25544693673531293;0.9314554625544175
cenario01_min16_mx4_res30_q5_ord1;P3;4.5;0.7798130097538514;2.5091585438923314;0.6075951715697299;0.225019728171453;0.9263550728093818
cenario01_min16_mx4_res30_q5_ord1;P3;5.0;0.7622917211091793;2.8114586055458965;0.6046001233071303;0.211542010989755;0.9218479230740332
cenario02_min16_mx4_res30_q5_ord2;P3;-5.0;1.4931839671255527;-8.465919835627764;1.7031551616408436;-0.04985597257645402;0.8500184143907761
cenario02_min16_mx4_res30_q5_ord2;P3;-4.5;1.4698538344016316;-7.614342254807342;1.6989199807250728;-0.030797658455485433;0.8506955317323217
cenario02_min16_mx4_res30_q5_ord2;P3;-4.0;1.4417499637256728;-6.766999854902691;1.6874883142409551;0.017046597938870534;0.8521554120603728
