Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario01_min16_mx4_res30_q5_ord1;O2;16;30000;30;1;0.97;0.83;0.34
cenario02_min16_mx4_res30_q5_ord2;O2;16;30000;30;2;0.97;0.92;0.27
cenario03_min16_mx4_res30_q10_ord1;O2;16;30000;30;1;0.97;0.83;0.46
cenario04_min16_mx4_res30_q10_ord2;O2;16;30000;30;2;0.97;0.92;0.4
cenario05_min16_mx4_res50_q5_ord1;O2;16;30000;50;1;0.98;0.83;0.31
cenario06_min16_mx4_res50_q5_ord2;O2;16;30000;50;2;0.97;0.92;0.27
cenario07_min16_mx4_res50_q10_ord1;O2;16;30000;50;1;0.97;0.83;0.42
cenario08_min16_mx4_res50_q10_ord2;O2;16;30000;50;2;0.97;0.92;0.41
cenario09_min16_mx8_res30_q5_ord1;O2;16;15000;30;1;0.98;0.87;0.32
cenario10_min16_mx8_res30_q5_ord2;O2;16;15000;30;2;0.97;0.97;0.23
cenario11_min16_mx8_res30_q10_ord1;O2;16;15000;30;1;0.98;0.87;0.45
cenario12_min16_mx8_res30_q10_ord2;O2;16;15000;30;2;0.97;0.97;0.35
cenario13_min16_mx8_res50_q5_ord1;O2;16;15000;50;1;0.98;0.87;0.31
cenario14_min16_mx8_res50_q5_ord2;O2;16;15000;50;2;0.97;0.96;0.25
cenario15_min16_mx8_res50_q10_ord1;O2;16;15000;50;1;0.97;0.87;0.43
cenario16_min16_mx8_res50_q10_ord2;O2;16;15000;50;2;0.97;0.96;0.38
cenario17_min16_mx10_res30_q5_ord1;O2;16;12000;30;1;0.98;0.89;0.3
cenario18_min16_mx10_res30_q5_ord2;O2;16;12000;30;2;0.97;0.98;0.24
cenario19_min16_mx10_res30_q10_ord1;O2;16;12000;30;1;0.98;0.89;0.41
cenario20_min16_mx10_res30_q10_ord2;O2;16;12000;30;2;0.97;0.98;0.37
cenario21_min16_mx10_res50_q5_ord1;O2;16;12000;50;1;0.98;0.88;0.32
cenario22_min16_mx10_res50_q5_ord2;O2;16;12000;50;2;0.97;0.98;0.25
cenario23_min16_mx10_res50_q10_ord1;O2;16;12000;50;1;0.98;0.88;0.45
cenario24_min16_mx10_res50_q10_ord2;O2;16;12000;50;2;0.97;0.98;0.39
cenario25_min32_mx4_res30_q5_ord1;O2;32;30000;30;1;0.98;0.78;0.35
cenario26_min32_mx4_res30_q5_ord2;O2;32;30000;30;2;0.98;0.86;0.26
cenario27_min32_mx4_res30_q10_ord1;O2;32;30000;30;1;0.98;0.78;0.47
cenario28_min32_mx4_res30_q10_ord2;O2;32;30000;30;2;0.98;0.86;0.39
cenario29_min32_mx4_res50_q5_ord1;O2;32;30000;50;1;0.98;0.78;0.37
cenario30_min32_mx4_res50_q5_ord2;O2;32;30000;50;2;0.98;0.85;0.27
cenario31_min32_mx4_res50_q10_ord1;O2;32;30000;50;1;0.98;0.78;0.5
cenario32_min32_mx4_res50_q10_ord2;O2;32;30000;50;2;0.97;0.85;0.4
cenario33_min32_mx8_res30_q5_ord1;O2;32;15000;30;1;0.98;0.81;0.33
cenario34_min32_mx8_res30_q5_ord2;O2;32;15000;30;2;0.98;0.89;0.25
cenario35_min32_mx8_res30_q10_ord1;O2;32;15000;30;1;0.98;0.81;0.45
cenario36_min32_mx8_res30_q10_ord2;O2;32;15000;30;2;0.97;0.89;0.38
cenario37_min32_mx8_res50_q5_ord1;O2;32;15000;50;1;0.98;0.81;0.32
cenario38_min32_mx8_res50_q5_ord2;O2;32;15000;50;2;0.98;0.89;0.24
cenario39_min32_mx8_res50_q10_ord1;O2;32;15000;50;1;0.98;0.81;0.44
cenario40_min32_mx8_res50_q10_ord2;O2;32;15000;50;2;0.98;0.89;0.37
cenario41_min32_mx10_res30_q5_ord1;O2;32;12000;30;1;0.98;0.82;0.32
cenario42_min32_mx10_res30_q5_ord2;O2;32;12000;30;2;0.98;0.91;0.28
cenario43_min32_mx10_res30_q10_ord1;O2;32;12000;30;1;0.98;0.82;0.44
cenario44_min32_mx10_res30_q10_ord2;O2;32;12000;30;2;0.97;0.91;0.42
cenario45_min32_mx10_res50_q5_ord1;O2;32;12000;50;1;0.99;0.82;0.33
cenario46_min32_mx10_res50_q5_ord2;O2;32;12000;50;2;0.98;0.91;0.26
cenario47_min32_mx10_res50_q10_ord1;O2;32;12000;50;1;0.98;0.82;0.46
cenario48_min32_mx10_res50_q10_ord2;O2;32;12000;50;2;0.97;0.91;0.37
cenario49_min64_mx4_res30_q5_ord1;O2;64;30000;30;1;0.99;0.72;0.36
cenario50_min64_mx4_res30_q5_ord2;O2;64;30000;30;2;0.98;0.79;0.29
cenario51_min64_mx4_res30_q10_ord1;O2;64;30000;30;1;0.98;0.72;0.48
cenario52_min64_mx4_res30_q10_ord2;O2;64;30000;30;2;0.98;0.79;0.42
cenario53_min64_mx4_res50_q5_ord1;O2;64;30000;50;1;0.99;0.72;0.36
cenario54_min64_mx4_res50_q5_ord2;O2;64;30000;50;2;0.99;0.79;0.29
cenario55_min64_mx4_res50_q10_ord1;O2;64;30000;50;1;0.98;0.72;0.47
cenario56_min64_mx4_res50_q10_ord2;O2;64;30000;50;2;0.98;0.79;0.42
cenario57_min64_mx8_res30_q5_ord1;O2;64;15000;30;1;0.99;0.76;0.33
cenario58_min64_mx8_res30_q5_ord2;O2;64;15000;30;2;0.98;0.82;0.27
cenario59_min64_mx8_res30_q10_ord1;O2;64;15000;30;1;0.99;0.76;0.44
cenario60_min64_mx8_res30_q10_ord2;O2;64;15000;30;2;0.98;0.82;0.39
cenario61_min64_mx8_res50_q5_ord1;O2;64;15000;50;1;0.99;0.76;0.32
cenario62_min64_mx8_res50_q5_ord2;O2;64;15000;50;2;0.99;0.83;0.29
cenario63_min64_mx8_res50_q10_ord1;O2;64;15000;50;1;0.99;0.76;0.44
cenario64_min64_mx8_res50_q10_ord2;O2;64;15000;50;2;0.98;0.83;0.41
cenario65_min64_mx10_res30_q5_ord1;O2;64;12000;30;1;0.99;0.77;0.31
cenario66_min64_mx10_res30_q5_ord2;O2;64;12000;30;2;0.98;0.83;0.27
cenario67_min64_mx10_res30_q10_ord1;O2;64;12000;30;1;0.99;0.77;0.43
cenario68_min64_mx10_res30_q10_ord2;O2;64;12000;30;2;0.98;0.83;0.39
cenario69_min64_mx10_res50_q5_ord1;O2;64;12000;50;1;0.99;0.77;0.34
cenario70_min64_mx10_res50_q5_ord2;O2;64;12000;50;2;0.98;0.84;0.29
cenario71_min64_mx10_res50_q10_ord1;O2;64;12000;50;1;0.99;0.77;0.47
cenario72_min64_mx10_res50_q10_ord2;O2;64;12000;50;2;0.98;0.84;0.42
cenario73_min128_mx4_res30_q5_ord1;O2;128;30000;30;1;0.99;0.68;0.35
cenario74_min128_mx4_res30_q5_ord2;O2;128;30000;30;2;0.99;0.74;0.3
cenario75_min128_mx4_res30_q10_ord1;O2;128;30000;30;1;0.99;0.68;0.46
cenario76_min128_mx4_res30_q10_ord2;O2;128;30000;30;2;0.99;0.74;0.41
cenario77_min128_mx4_res50_q5_ord1;O2;128;30000;50;1;0.99;0.68;0.37
cenario78_min128_mx4_res50_q5_ord2;O2;128;30000;50;2;0.99;0.74;0.31
cenario79_min128_mx4_res50_q10_ord1;O2;128;30000;50;1;0.99;0.68;0.48
cenario80_min128_mx4_res50_q10_ord2;O2;128;30000;50;2;0.99;0.74;0.43
cenario81_min128_mx8_res30_q5_ord1;O2;128;15000;30;1;0.99;0.72;0.28
cenario82_min128_mx8_res30_q5_ord2;O2;128;15000;30;2;0.99;0.77;0.3
cenario83_min128_mx8_res30_q10_ord1;O2;128;15000;30;1;0.99;0.72;0.39
cenario84_min128_mx8_res30_q10_ord2;O2;128;15000;30;2;0.99;0.77;0.42
cenario85_min128_mx8_res50_q5_ord1;O2;128;15000;50;1;0.99;0.71;0.35
cenario86_min128_mx8_res50_q5_ord2;O2;128;15000;50;2;0.99;0.77;0.28
cenario87_min128_mx8_res50_q10_ord1;O2;128;15000;50;1;0.99;0.71;0.45
cenario88_min128_mx8_res50_q10_ord2;O2;128;15000;50;2;0.99;0.77;0.39
cenario89_min128_mx10_res30_q5_ord1;O2;128;12000;30;1;0.99;0.72;0.31
cenario90_min128_mx10_res30_q5_ord2;O2;128;12000;30;2;0.99;0.76;0.32
cenario91_min128_mx10_res30_q10_ord1;O2;128;12000;30;1;0.99;0.72;0.44
cenario92_min128_mx10_res30_q10_ord2;O2;128;12000;30;2;0.99;0.76;0.46
cenario93_min128_mx10_res50_q5_ord1;O2;128;12000;50;1;0.99;0.72;0.35
cenario94_min128_mx10_res50_q5_ord2;O2;128;12000;50;2;0.99;0.77;0.3
cenario95_min128_mx10_res50_q10_ord1;O2;128;12000;50;1;0.99;0.72;0.46
cenario96_min128_mx10_res50_q10_ord2;O2;128;12000;50;2;0.99;0.77;0.43
cenario01_min16_mx4_res30_q5_ord1;Fp2;16;30000;30;1;0.98;0.79;0.39
cenario02_min16_mx4_res30_q5_ord2;Fp2;16;30000;30;2;0.98;0.85;0.3
cenario03_min16_mx4_res30_q10_ord1;Fp2;16;30000;30;1;0.97;0.79;0.52
cenario04_min16_mx4_res30_q10_ord2;Fp2;16;30000;30;2;0.97;0.85;0.44
cenario05_min16_mx4_res50_q5_ord1;Fp2;16;30000;50;1;0.98;0.79;0.35
cenario06_min16_mx4_res50_q5_ord2;Fp2;16;30000;50;2;0.98;0.85;0.29
cenario07_min16_mx4_res50_q10_ord1;Fp2;16;30000;50;1;0.97;0.79;0.48
cenario08_min16_mx4_res50_q10_ord2;Fp2;16;30000;50;2;0.97;0.85;0.41
cenario09_min16_mx8_res30_q5_ord1;Fp2;16;15000;30;1;0.98;0.82;0.37
