Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario01_min16_mx4_res30_q5_ord1;O2;16;30000;30;1;0.93;0.81;0.68
cenario02_min16_mx4_res30_q5_ord2;O2;16;30000;30;2;0.89;0.98;0.86
cenario03_min16_mx4_res30_q10_ord1;O2;16;30000;30;1;0.92;0.81;0.77
cenario04_min16_mx4_res30_q10_ord2;O2;16;30000;30;2;0.88;0.98;0.92
cenario05_min16_mx4_res50_q5_ord1;O2;16;30000;50;1;0.93;0.8;0.65
cenario06_min16_mx4_res50_q5_ord2;O2;16;30000;50;2;0.88;0.97;0.85
cenario07_min16_mx4_res50_q10_ord1;O2;16;30000;50;1;0.92;0.8;0.73
cenario08_min16_mx4_res50_q10_ord2;O2;16;30000;50;2;0.88;0.97;0.9
cenario09_min16_mx8_res30_q5_ord1;O2;16;15000;30;1;0.93;0.85;0.77
cenario10_min16_mx8_res30_q5_ord2;O2;16;15000;30;2;0.88;1.04;0.99
cenario11_min16_mx8_res30_q10_ord1;O2;16;15000;30;1;0.92;0.85;0.84
cenario12_min16_mx8_res30_q10_ord2;O2;16;15000;30;2;0.88;1.04;1.03
cenario13_min16_mx8_res50_q5_ord1;O2;16;15000;50;1;0.93;0.84;0.76
cenario14_min16_mx8_res50_q5_ord2;O2;16;15000;50;2;0.88;1.04;0.98
cenario15_min16_mx8_res50_q10_ord1;O2;16;15000;50;1;0.92;0.84;0.83
cenario16_min16_mx8_res50_q10_ord2;O2;16;15000;50;2;0.88;1.04;1.03
cenario17_min16_mx10_res30_q5_ord1;O2;16;12000;30;1;0.93;0.85;0.75
cenario18_min16_mx10_res30_q5_ord2;O2;16;12000;30;2;0.89;1.07;0.98
cenario19_min16_mx10_res30_q10_ord1;O2;16;12000;30;1;0.92;0.85;0.81
cenario20_min16_mx10_res30_q10_ord2;O2;16;12000;30;2;0.88;1.07;1.01
cenario21_min16_mx10_res50_q5_ord1;O2;16;12000;50;1;0.93;0.85;0.8
cenario22_min16_mx10_res50_q5_ord2;O2;16;12000;50;2;0.89;1.07;1.02
cenario23_min16_mx10_res50_q10_ord1;O2;16;12000;50;1;0.92;0.85;0.88
cenario24_min16_mx10_res50_q10_ord2;O2;16;12000;50;2;0.88;1.07;1.06
cenario25_min32_mx4_res30_q5_ord1;O2;32;30000;30;1;0.95;0.72;0.6
cenario26_min32_mx4_res30_q5_ord2;O2;32;30000;30;2;0.91;0.83;0.74
cenario27_min32_mx4_res30_q10_ord1;O2;32;30000;30;1;0.94;0.72;0.71
cenario28_min32_mx4_res30_q10_ord2;O2;32;30000;30;2;0.9;0.83;0.82
cenario29_min32_mx4_res50_q5_ord1;O2;32;30000;50;1;0.95;0.72;0.54
cenario30_min32_mx4_res50_q5_ord2;O2;32;30000;50;2;0.91;0.83;0.69
cenario31_min32_mx4_res50_q10_ord1;O2;32;30000;50;1;0.94;0.72;0.65
cenario32_min32_mx4_res50_q10_ord2;O2;32;30000;50;2;0.9;0.83;0.78
cenario33_min32_mx8_res30_q5_ord1;O2;32;15000;30;1;0.95;0.75;0.63
cenario34_min32_mx8_res30_q5_ord2;O2;32;15000;30;2;0.9;0.88;0.82
cenario35_min32_mx8_res30_q10_ord1;O2;32;15000;30;1;0.94;0.75;0.72
cenario36_min32_mx8_res30_q10_ord2;O2;32;15000;30;2;0.89;0.88;0.88
cenario37_min32_mx8_res50_q5_ord1;O2;32;15000;50;1;0.95;0.75;0.66
cenario38_min32_mx8_res50_q5_ord2;O2;32;15000;50;2;0.9;0.88;0.85
cenario39_min32_mx8_res50_q10_ord1;O2;32;15000;50;1;0.93;0.75;0.75
cenario40_min32_mx8_res50_q10_ord2;O2;32;15000;50;2;0.9;0.88;0.91
