Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario01_min16_mx4_res30_q5_ord1;P3;16;30400;30;1;0.940953033049758;0.9501655977429824;0.783761270359995
cenario02_min16_mx4_res30_q5_ord2;P3;16;30400;30;2;0.8981858501614862;1.156277262784084;0.8445393665591787
cenario03_min16_mx4_res30_q10_ord1;P3;16;30400;30;1;0.9218736007589701;0.9501655977429824;0.8148209442573409
cenario04_min16_mx4_res30_q10_ord2;P3;16;30400;30;2;0.8810626762845167;1.156277262784084;0.877536659369901
cenario05_min16_mx4_res50_q5_ord1;P3;16;30400;50;1;0.9445742253670344;0.9512601577109067;0.7737336446783694
cenario06_min16_mx4_res50_q5_ord2;P3;16;30400;50;2;0.9013392786301946;1.14418105699269;0.7940330810457503
cenario07_min16_mx4_res50_q10_ord1;P3;16;30400;50;1;0.9271110230655075;0.9512601577109067;0.815231044305265
cenario08_min16_mx4_res50_q10_ord2;P3;16;30400;50;2;0.8857943378168345;1.14418105699269;0.8364938462243128
cenario09_min16_mx8_res30_q5_ord1;P3;16;15200;30;1;0.9448602892168335;1.0152288492420745;0.8207541923261727
cenario10_min16_mx8_res30_q5_ord2;P3;16;15200;30;2;0.8971785716964081;1.2240839528755183;0.9229760797978859
cenario11_min16_mx8_res30_q10_ord1;P3;16;15200;30;1;0.9319622700674582;1.0152288492420745;0.85708637047997
cenario12_min16_mx8_res30_q10_ord2;P3;16;15200;30;2;0.8849694555911874;1.2240839528755183;0.9571971732003499
cenario13_min16_mx8_res50_q5_ord1;P3;16;15200;50;1;0.9436189858897462;1.0137946515734961;0.7754151985913218
cenario14_min16_mx8_res50_q5_ord2;P3;16;15200;50;2;0.8988480654367956;1.2247337219878893;0.8728287283304343
cenario15_min16_mx8_res50_q10_ord1;P3;16;15200;50;1;0.9285903385678909;1.0137946515734961;0.8097771577566144
cenario16_min16_mx8_res50_q10_ord2;P3;16;15200;50;2;0.8848336903152445;1.2247337219878893;0.9105675674445397
cenario17_min16_mx10_res30_q5_ord1;P3;16;12160;30;1;0.9459743240542817;1.0399760044175101;0.7761455499355225
cenario18_min16_mx10_res30_q5_ord2;P3;16;12160;30;2;0.8980429973964614;1.2410925120821148;0.904291019652538
cenario19_min16_mx10_res30_q10_ord1;P3;16;12160;30;1;0.9347173330889401;1.0399760044175101;0.8159662782046162
cenario20_min16_mx10_res30_q10_ord2;P3;16;12160;30;2;0.8856191798928756;1.2410925120821148;0.9312121846797021
cenario21_min16_mx10_res50_q5_ord1;P3;16;12160;50;1;0.9429980157767692;1.0306653160475852;0.8029124231091931
cenario22_min16_mx10_res50_q5_ord2;P3;16;12160;50;2;0.8976841400520289;1.249817986315675;0.9271302332586426
cenario23_min16_mx10_res50_q10_ord1;P3;16;12160;50;1;0.9289224743625816;1.0306653160475852;0.8399684494114572
cenario24_min16_mx10_res50_q10_ord2;P3;16;12160;50;2;0.8831535354086502;1.249817986315675;0.9578397438556552
