Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario01_min16_mx4_res30_q5_ord1;O2;-5.0;1.01;-6.05;1.12;0.48;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-4.5;1.0;-5.5;1.11;0.51;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-4.0;0.99;-4.95;1.09;0.59;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-3.5;0.97;-4.41;1.07;0.67;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-3.0;0.96;-3.88;1.04;0.74;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-2.5;0.94;-3.36;1.02;0.82;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-2.0;0.93;-2.86;0.99;0.88;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-1.5;0.91;-2.37;0.96;0.93;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-1.0;0.9;-1.9;0.93;0.97;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;-0.5;0.88;-1.44;0.9;0.99;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;0.5;0.86;-0.57;0.84;0.99;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;1.0;0.84;-0.16;0.82;0.97;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;1.5;0.83;0.24;0.79;0.94;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;2.0;0.82;0.63;0.76;0.9;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;2.5;0.8;1.01;0.74;0.84;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;3.0;0.79;1.37;0.71;0.76;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;3.5;0.78;1.72;0.68;0.65;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;4.0;0.76;2.05;0.64;0.52;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;4.5;0.75;2.36;0.61;0.4;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;5.0;0.73;2.66;0.6;0.34;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-5.0;1.07;-6.36;1.17;0.52;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-4.5;1.06;-5.77;1.16;0.56;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-4.0;1.05;-5.2;1.14;0.64;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-3.5;1.04;-4.63;1.12;0.72;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-3.0;1.03;-4.08;1.1;0.79;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-2.5;1.01;-3.54;1.07;0.85;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-2.0;1.0;-3.01;1.05;0.91;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-1.5;0.99;-2.49;1.03;0.95;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-1.0;0.98;-1.98;1.0;0.98;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-0.5;0.97;-1.48;0.98;0.99;0.95
cenario02_min16_mx4_res30_q5_ord2;O2;0.5;0.95;-0.53;0.93;0.99;0.95
cenario02_min16_mx4_res30_q5_ord2;O2;1.0;0.93;-0.07;0.91;0.98;0.95
cenario02_min16_mx4_res30_q5_ord2;O2;1.5;0.92;0.38;0.89;0.95;0.95
