Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario01_min16_mx4_res30_q5_ord1;O2;16;35700;30;1;0.97;0.82;0.51
cenario02_min16_mx4_res30_q5_ord2;O2;16;35700;30;2;0.95;0.91;0.55
cenario03_min16_mx4_res30_q10_ord1;O2;16;35700;30;1;0.97;0.82;0.63
cenario04_min16_mx4_res30_q10_ord2;O2;16;35700;30;2;0.96;0.91;0.67
cenario05_min16_mx4_res50_q5_ord1;O2;16;35700;50;1;0.97;0.81;0.52
cenario06_min16_mx4_res50_q5_ord2;O2;16;35700;50;2;0.95;0.91;0.56
cenario07_min16_mx4_res50_q10_ord1;O2;16;35700;50;1;0.97;0.81;0.63
cenario08_min16_mx4_res50_q10_ord2;O2;16;35700;50;2;0.96;0.91;0.68
cenario09_min16_mx8_res30_q5_ord1;O2;16;17850;30;1;0.96;0.84;0.57
cenario10_min16_mx8_res30_q5_ord2;O2;16;17850;30;2;0.96;0.96;0.6
cenario11_min16_mx8_res30_q10_ord1;O2;16;17850;30;1;0.96;0.84;0.69
cenario12_min16_mx8_res30_q10_ord2;O2;16;17850;30;2;0.96;0.96;0.7
cenario13_min16_mx8_res50_q5_ord1;O2;16;17850;50;1;0.96;0.84;0.62
cenario14_min16_mx8_res50_q5_ord2;O2;16;17850;50;2;0.96;0.96;0.6
cenario15_min16_mx8_res50_q10_ord1;O2;16;17850;50;1;0.96;0.84;0.72
cenario16_min16_mx8_res50_q10_ord2;O2;16;17850;50;2;0.96;0.96;0.72
cenario17_min16_mx10_res30_q5_ord1;O2;16;14280;30;1;0.96;0.86;0.59
cenario18_min16_mx10_res30_q5_ord2;O2;16;14280;30;2;0.96;0.98;0.6
cenario19_min16_mx10_res30_q10_ord1;O2;16;14280;30;1;0.96;0.86;0.72
cenario20_min16_mx10_res30_q10_ord2;O2;16;14280;30;2;0.96;0.98;0.71
cenario21_min16_mx10_res50_q5_ord1;O2;16;14280;50;1;0.96;0.85;0.62
cenario22_min16_mx10_res50_q5_ord2;O2;16;14280;50;2;0.96;0.98;0.6
cenario23_min16_mx10_res50_q10_ord1;O2;16;14280;50;1;0.96;0.85;0.73
cenario24_min16_mx10_res50_q10_ord2;O2;16;14280;50;2;0.96;0.98;0.72
cenario25_min32_mx4_res30_q5_ord1;O2;32;35700;30;1;0.97;0.75;0.49
cenario26_min32_mx4_res30_q5_ord2;O2;32;35700;30;2;0.96;0.83;0.49
cenario27_min32_mx4_res30_q10_ord1;O2;32;35700;30;1;0.97;0.75;0.61
cenario28_min32_mx4_res30_q10_ord2;O2;32;35700;30;2;0.96;0.83;0.63
cenario29_min32_mx4_res50_q5_ord1;O2;32;35700;50;1;0.97;0.75;0.49
cenario30_min32_mx4_res50_q5_ord2;O2;32;35700;50;2;0.96;0.83;0.49
cenario31_min32_mx4_res50_q10_ord1;O2;32;35700;50;1;0.98;0.75;0.62
cenario32_min32_mx4_res50_q10_ord2;O2;32;35700;50;2;0.96;0.83;0.64
cenario33_min32_mx8_res30_q5_ord1;O2;32;17850;30;1;0.97;0.77;0.55
cenario34_min32_mx8_res30_q5_ord2;O2;32;17850;30;2;0.96;0.87;0.49
cenario35_min32_mx8_res30_q10_ord1;O2;32;17850;30;1;0.97;0.77;0.69
cenario36_min32_mx8_res30_q10_ord2;O2;32;17850;30;2;0.96;0.87;0.64
cenario37_min32_mx8_res50_q5_ord1;O2;32;17850;50;1;0.97;0.77;0.54
cenario38_min32_mx8_res50_q5_ord2;O2;32;17850;50;2;0.96;0.87;0.52
cenario39_min32_mx8_res50_q10_ord1;O2;32;17850;50;1;0.97;0.77;0.67
cenario40_min32_mx8_res50_q10_ord2;O2;32;17850;50;2;0.96;0.87;0.65
cenario41_min32_mx10_res30_q5_ord1;O2;32;14280;30;1;0.97;0.78;0.57
cenario42_min32_mx10_res30_q5_ord2;O2;32;14280;30;2;0.96;0.89;0.5
cenario43_min32_mx10_res30_q10_ord1;O2;32;14280;30;1;0.97;0.78;0.7
cenario44_min32_mx10_res30_q10_ord2;O2;32;14280;30;2;0.96;0.89;0.65
cenario45_min32_mx10_res50_q5_ord1;O2;32;14280;50;1;0.97;0.78;0.54
cenario46_min32_mx10_res50_q5_ord2;O2;32;14280;50;2;0.96;0.89;0.5
cenario47_min32_mx10_res50_q10_ord1;O2;32;14280;50;1;0.97;0.78;0.66
cenario48_min32_mx10_res50_q10_ord2;O2;32;14280;50;2;0.96;0.89;0.66
cenario49_min64_mx4_res30_q5_ord1;O2;64;35700;30;1;0.98;0.69;0.44
cenario50_min64_mx4_res30_q5_ord2;O2;64;35700;30;2;0.97;0.74;0.46
cenario51_min64_mx4_res30_q10_ord1;O2;64;35700;30;1;0.98;0.69;0.56
cenario52_min64_mx4_res30_q10_ord2;O2;64;35700;30;2;0.97;0.74;0.61
cenario53_min64_mx4_res50_q5_ord1;O2;64;35700;50;1;0.98;0.68;0.44
cenario54_min64_mx4_res50_q5_ord2;O2;64;35700;50;2;0.97;0.74;0.45
cenario55_min64_mx4_res50_q10_ord1;O2;64;35700;50;1;0.98;0.68;0.57
cenario56_min64_mx4_res50_q10_ord2;O2;64;35700;50;2;0.97;0.74;0.6
cenario57_min64_mx8_res30_q5_ord1;O2;64;17850;30;1;0.98;0.7;0.52
cenario58_min64_mx8_res30_q5_ord2;O2;64;17850;30;2;0.97;0.78;0.5
cenario59_min64_mx8_res30_q10_ord1;O2;64;17850;30;1;0.98;0.7;0.65
cenario60_min64_mx8_res30_q10_ord2;O2;64;17850;30;2;0.97;0.78;0.66
cenario61_min64_mx8_res50_q5_ord1;O2;64;17850;50;1;0.98;0.7;0.5
cenario62_min64_mx8_res50_q5_ord2;O2;64;17850;50;2;0.97;0.77;0.5
cenario63_min64_mx8_res50_q10_ord1;O2;64;17850;50;1;0.97;0.7;0.62
cenario64_min64_mx8_res50_q10_ord2;O2;64;17850;50;2;0.97;0.77;0.67
cenario65_min64_mx10_res30_q5_ord1;O2;64;14280;30;1;0.98;0.7;0.52
cenario66_min64_mx10_res30_q5_ord2;O2;64;14280;30;2;0.97;0.8;0.47
cenario67_min64_mx10_res30_q10_ord1;O2;64;14280;30;1;0.97;0.7;0.64
cenario68_min64_mx10_res30_q10_ord2;O2;64;14280;30;2;0.97;0.8;0.62
cenario69_min64_mx10_res50_q5_ord1;O2;64;14280;50;1;0.98;0.71;0.53
cenario70_min64_mx10_res50_q5_ord2;O2;64;14280;50;2;0.97;0.79;0.49
cenario71_min64_mx10_res50_q10_ord1;O2;64;14280;50;1;0.98;0.71;0.66
cenario72_min64_mx10_res50_q10_ord2;O2;64;14280;50;2;0.97;0.79;0.64
cenario73_min128_mx4_res30_q5_ord1;O2;128;35700;30;1;0.99;0.64;0.41
cenario74_min128_mx4_res30_q5_ord2;O2;128;35700;30;2;0.98;0.68;0.44
cenario75_min128_mx4_res30_q10_ord1;O2;128;35700;30;1;0.98;0.64;0.53
cenario76_min128_mx4_res30_q10_ord2;O2;128;35700;30;2;0.98;0.68;0.59
cenario77_min128_mx4_res50_q5_ord1;O2;128;35700;50;1;0.99;0.64;0.41
cenario78_min128_mx4_res50_q5_ord2;O2;128;35700;50;2;0.98;0.67;0.46
cenario79_min128_mx4_res50_q10_ord1;O2;128;35700;50;1;0.98;0.64;0.53
cenario80_min128_mx4_res50_q10_ord2;O2;128;35700;50;2;0.98;0.67;0.61
cenario81_min128_mx8_res30_q5_ord1;O2;128;17850;30;1;0.99;0.64;0.49
cenario82_min128_mx8_res30_q5_ord2;O2;128;17850;30;2;0.98;0.7;0.5
cenario83_min128_mx8_res30_q10_ord1;O2;128;17850;30;1;0.98;0.64;0.6
cenario84_min128_mx8_res30_q10_ord2;O2;128;17850;30;2;0.97;0.7;0.65
cenario85_min128_mx8_res50_q5_ord1;O2;128;17850;50;1;0.98;0.64;0.5
cenario86_min128_mx8_res50_q5_ord2;O2;128;17850;50;2;0.98;0.7;0.47
cenario87_min128_mx8_res50_q10_ord1;O2;128;17850;50;1;0.98;0.64;0.63
cenario88_min128_mx8_res50_q10_ord2;O2;128;17850;50;2;0.98;0.7;0.61
cenario89_min128_mx10_res30_q5_ord1;O2;128;14280;30;1;0.99;0.65;0.5
cenario90_min128_mx10_res30_q5_ord2;O2;128;14280;30;2;0.98;0.71;0.5
cenario91_min128_mx10_res30_q10_ord1;O2;128;14280;30;1;0.98;0.65;0.62
cenario92_min128_mx10_res30_q10_ord2;O2;128;14280;30;2;0.98;0.71;0.67
cenario93_min128_mx10_res50_q5_ord1;O2;128;14280;50;1;0.98;0.64;0.51
cenario94_min128_mx10_res50_q5_ord2;O2;128;14280;50;2;0.98;0.71;0.49
cenario95_min128_mx10_res50_q10_ord1;O2;128;14280;50;1;0.98;0.64;0.63
cenario96_min128_mx10_res50_q10_ord2;O2;128;14280;50;2;0.98;0.71;0.64
cenario01_min16_mx4_res30_q5_ord1;Fp2;16;35700;30;1;0.97;0.82;0.46
cenario02_min16_mx4_res30_q5_ord2;Fp2;16;35700;30;2;0.97;0.88;0.5
cenario03_min16_mx4_res30_q10_ord1;Fp2;16;35700;30;1;0.97;0.82;0.56
cenario04_min16_mx4_res30_q10_ord2;Fp2;16;35700;30;2;0.97;0.88;0.59
cenario05_min16_mx4_res50_q5_ord1;Fp2;16;35700;50;1;0.97;0.81;0.47
cenario06_min16_mx4_res50_q5_ord2;Fp2;16;35700;50;2;0.97;0.88;0.52
cenario07_min16_mx4_res50_q10_ord1;Fp2;16;35700;50;1;0.98;0.81;0.56
cenario08_min16_mx4_res50_q10_ord2;Fp2;16;35700;50;2;0.97;0.88;0.6
cenario09_min16_mx8_res30_q5_ord1;Fp2;16;17850;30;1;0.97;0.84;0.49
cenario10_min16_mx8_res30_q5_ord2;Fp2;16;17850;30;2;0.97;0.93;0.56
cenario11_min16_mx8_res30_q10_ord1;Fp2;16;17850;30;1;0.97;0.84;0.6
cenario12_min16_mx8_res30_q10_ord2;Fp2;16;17850;30;2;0.97;0.93;0.65
cenario13_min16_mx8_res50_q5_ord1;Fp2;16;17850;50;1;0.98;0.84;0.54
cenario14_min16_mx8_res50_q5_ord2;Fp2;16;17850;50;2;0.97;0.92;0.57
cenario15_min16_mx8_res50_q10_ord1;Fp2;16;17850;50;1;0.98;0.84;0.63
cenario16_min16_mx8_res50_q10_ord2;Fp2;16;17850;50;2;0.96;0.92;0.67
cenario17_min16_mx10_res30_q5_ord1;Fp2;16;14280;30;1;0.97;0.84;0.51
cenario18_min16_mx10_res30_q5_ord2;Fp2;16;14280;30;2;0.97;0.94;0.55
cenario19_min16_mx10_res30_q10_ord1;Fp2;16;14280;30;1;0.97;0.84;0.6
cenario20_min16_mx10_res30_q10_ord2;Fp2;16;14280;30;2;0.97;0.94;0.64
cenario21_min16_mx10_res50_q5_ord1;Fp2;16;14280;50;1;0.97;0.85;0.54
cenario22_min16_mx10_res50_q5_ord2;Fp2;16;14280;50;2;0.97;0.94;0.58
cenario23_min16_mx10_res50_q10_ord1;Fp2;16;14280;50;1;0.97;0.85;0.63
cenario24_min16_mx10_res50_q10_ord2;Fp2;16;14280;50;2;0.97;0.94;0.68
cenario25_min32_mx4_res30_q5_ord1;Fp2;32;35700;30;1;0.98;0.76;0.41
cenario26_min32_mx4_res30_q5_ord2;Fp2;32;35700;30;2;0.97;0.82;0.43
cenario27_min32_mx4_res30_q10_ord1;Fp2;32;35700;30;1;0.98;0.76;0.51
cenario28_min32_mx4_res30_q10_ord2;Fp2;32;35700;30;2;0.97;0.82;0.53
cenario29_min32_mx4_res50_q5_ord1;Fp2;32;35700;50;1;0.98;0.76;0.43
cenario30_min32_mx4_res50_q5_ord2;Fp2;32;35700;50;2;0.97;0.82;0.43
cenario31_min32_mx4_res50_q10_ord1;Fp2;32;35700;50;1;0.98;0.76;0.54
cenario32_min32_mx4_res50_q10_ord2;Fp2;32;35700;50;2;0.97;0.82;0.55
cenario33_min32_mx8_res30_q5_ord1;Fp2;32;17850;30;1;0.98;0.77;0.51
cenario34_min32_mx8_res30_q5_ord2;Fp2;32;17850;30;2;0.97;0.85;0.47
cenario35_min32_mx8_res30_q10_ord1;Fp2;32;17850;30;1;0.98;0.77;0.61
